Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
0,8.54G,0.05554,0.02541,0.1206,0.2015,89,512,0.01036,8.50E-05,0.003212,0.002005,0.05134,0.01133,0.1148
1,9.14G,0.03534,0.01433,0.1157,0.1653,111,512,0.02205,0.0001616,0.0159,0.01152,0.03975,0.007313,0.1095
2,9.14G,0.02898,0.01208,0.1109,0.152,115,512,0.03244,0.02125,0.03073,0.02465,0.03646,0.006459,0.1056
3,9.14G,0.02499,0.01047,0.1056,0.1411,106,512,0.07589,0.03682,0.06287,0.05123,0.02944,0.005624,0.1007
4,9.14G,0.02192,0.00951,0.1008,0.1322,113,512,0.1359,0.1399,0.153,0.1268,0.02813,0.005074,0.09577
5,9.14G,0.02044,0.00897,0.09489,0.1243,75,512,0.2117,0.3574,0.2917,0.253,0.0265,0.004921,0.09002
6,9.14G,0.0199,0.008903,0.08819,0.117,119,512,0.2668,0.4614,0.4003,0.3498,0.02552,0.005165,0.08464
7,9.14G,0.02019,0.0088,0.08051,0.1095,116,512,0.2652,0.5993,0.5051,0.4486,0.02311,0.004202,0.07691
8,9.14G,0.02018,0.008589,0.07116,0.09993,140,512,0.2952,0.6214,0.5516,0.4914,0.02203,0.004405,0.06991
9,9.14G,0.02068,0.00856,0.0631,0.09234,121,512,0.3954,0.6263,0.5724,0.5205,0.02117,0.00409,0.06499
10,9.14G,0.02016,0.008316,0.05778,0.08626,82,512,0.5012,0.6271,0.5846,0.5426,0.02038,0.004064,0.06197
11,9.14G,0.01945,0.008091,0.05441,0.08195,92,512,0.5287,0.6357,0.5959,0.5538,0.01966,0.004116,0.0592
12,9.14G,0.01914,0.007853,0.05174,0.07874,136,512,0.535,0.6365,0.6095,0.5725,0.01918,0.003992,0.05675
13,9.14G,0.01925,0.007794,0.04923,0.07627,97,512,0.5292,0.6391,0.6182,0.5795,0.01884,0.003986,0.05438
14,9.14G,0.01888,0.007647,0.04637,0.0729,121,512,0.5132,0.6417,0.6251,0.5888,0.01886,0.004052,0.05223
